id,review_no_per_rest,restaurant_id,restaurant_type,review_rating,review_date,review_body,restaurant_name,restaurant_address
4626,9,10,American,5,05/19/2022,A little pricey for a pub burger place but the burgers were great. Very clean and attentive service. I will definitely be back.,The Iron Horse Restaurant,20 Washington Ave
4627,10,10,American,5,07/23/2022,Excellent food and service every visit! A neighborhood classic — an old reliable!!! The pickles alone make a trip worthwhile!!!!,The Iron Horse Restaurant,20 Washington Ave
4628,11,10,American,4,10/21/2022,"family friendly vibe, local favorite, historic location, excellent menu, great service, clean bathrooms.  we prefer going a bit earlier to avoid crowds",The Iron Horse Restaurant,20 Washington Ave
4629,12,10,American,5,11/20/2022,"We had a large family gathering of out-of-towners to feed after an emotionally draining service at a local cemetery. The staff went out of their way to make us feel welcome and well taken care of. The food was outstanding and prepared to everyone's liking, which is not easy with 10+ burgers (well, medium-well, medium-rare, etc) being served at once. They obviously work hard, and work hard to find and keep excellent staff. Cheers to the Iron Horse!",The Iron Horse Restaurant,20 Washington Ave
4630,13,10,American,5,05/19/2020,"What a wonderful local haunt, we kept it to the burgers and beer, which is what this place is, not fancy, but nice. Best of all the Great Service. Our waitress was a delight and a lot of fun.",The Iron Horse Restaurant,20 Washington Ave
4631,14,10,American,5,05/19/2020,"Good service, food came out pretty quickly. The wings and stuffed burgers were very flavorful. Our waitress and other staff were very friendly and conversational.",The Iron Horse Restaurant,20 Washington Ave
4632,15,10,American,5,02/18/2023,A must go if you are in the area.  The food is legendary. Get the railroad fries. Burgers and wings are as good as it gets.,The Iron Horse Restaurant,20 Washington Ave
4633,16,10,American,5,05/19/2021,The tables follows the rule of social distance. The food is not expensive at all and the it also gives a large portion.,The Iron Horse Restaurant,20 Washington Ave
4634,17,10,American,5,05/20/2019,Excellent historical pub in downtown Westwood.  Can't go wrong with any of their stuffed hamburgers.  Always have a special plate and beer selection.  I keep going back for the friendly service and excellent food.  Great place to spend with family and friends.,The Iron Horse Restaurant,20 Washington Ave
4635,18,10,American,5,08/22/2022,"I haven't been here in 25 years. However, some great things never change. Still have the delicious coleslaw and pickles for everyone to start! As amazing as I remember. I had the special cheesesteak burger stuffed with American cheese and topped with sauted onion peppers and some provolone cheese. Incredible!!!! I am in the area now and will definitely be back sooner than 25 yrs. Do yourself a favor and pay them a visit. You won't regret it!!!",The Iron Horse Restaurant,20 Washington Ave
4636,19,10,American,5,02/18/2023,"Very friendly food great and very clean ,also like the pictures on the wall lot of historical.",The Iron Horse Restaurant,20 Washington Ave
4637,20,10,American,5,08/22/2022,Stopped in for lunch with my sister. We sat at a table in the bar area. We experienced fast efficient service with a smile. I ordered a cheeseburger cooked the was I asked. My sister had potato skins. We were very happy with the quality of the food.,The Iron Horse Restaurant,20 Washington Ave
4638,21,10,American,4,11/20/2022,This place is such a staple for the local community. No frills but always puts up a good effort. Their current anniversary beer is fantastic,The Iron Horse Restaurant,20 Washington Ave
4639,22,10,American,3,12/20/2022,Food and service are fine conveniently located by train station. The weak link is it is in serious need of interior update. Looks kind of sad...,The Iron Horse Restaurant,20 Washington Ave
4640,23,10,American,5,05/19/2021,Best stuffed hamburger around. Cole slaw and pickles are tradition,The Iron Horse Restaurant,20 Washington Ave
4641,25,10,American,1,06/23/2022,"This place is really old, the waiter was really nice and attentive, but the place is falling apart… the food is horrible… I ordered an steak sandwich is the steak tested like pure blood, the nachos were horrible.. I won’t recommend it, the salsa was super dried",The Iron Horse Restaurant,20 Washington Ave
4642,26,10,American,1,08/22/2022,"Empty on a Tuesday night, despite which service was terribly slow. Food was still decent, but the empty tables were filthy. Very sticky lacquer, perhaps due to the heat of summer, but this time, there were shreds of paper napkins from previous patrons sticking to the table at every seat (and from what I could see, at every  empty table in the room). No reason to change my table. Have some pride in your appearance! Maybe if you took the time to look and act professional, you'd have more customers. Clean your damn tables!  I've  been going there for years, and even in the past 2 post-Covid  years, the staff has been professional. Not anymore. Should have walked out. Not going back soon. Gonna take a shower now.Step it up, Iron Horse, or close it down!",The Iron Horse Restaurant,20 Washington Ave
4643,27,10,American,5,05/19/2022,I heard about their stuffed burger and wanted to check it out. Wasn’t disappointed at all! Probably the best burger I’ve eaten. Couldn’t stop eating it and the meat was just as good as the cheese center. Definitely make sure to come here and grab a bite! French onion was amazing as well. It was one of the best I’ve ever had if not the best.,The Iron Horse Restaurant,20 Washington Ave
4644,28,10,American,4,05/19/2022,Burgers were great but the onion rings and zucchini we're terrible. I blame old oil and being at the end of the night. The burgers and service deserve a 4 out of 5 star.    They are short staffed like evey other restaurant but they tried there best and went out of the way for us.,The Iron Horse Restaurant,20 Washington Ave
4645,29,10,American,5,05/19/2022,"I try to get to the Iron Horse whenever I'm back in north Bergen County. The food is great - but don't make the mistake of calculating calories - the portions are very satisfying, and satisfying the prices are very reasonable. The free starter of pickles and Cole slaw is great. The train themed atmosphere is also enjoyable.    ,  and the prices are very reasonable.",The Iron Horse Restaurant,20 Washington Ave
4646,30,10,American,4,01/19/2023,Good comfort food...reasonably priced...excellent service...great ambiance,The Iron Horse Restaurant,20 Washington Ave
4647,32,10,American,4,05/19/2022,The stuffed burgers are the reason to come. Really liked the pretzels and cheese during Octoberfest. Parking can be a huge pain. Prices are on the high side for burgers. The pickles and coleslaw are fantastic.,The Iron Horse Restaurant,20 Washington Ave
4648,33,10,American,5,05/19/2022,It was a total fluke finding this gastronomic oasis. Even the curbside parking space was pleasantly empty waiting for my car. I was promptly greeted by Brandon my server.    Decided to go with a burger and when asked whether they had crumbled blue cheese he said sure we stuff the meat patty with it and... would you like double cheese?    Double cheese? I asked and he explained it goes in the patty and on top of it for a cheesey galore experience. God bless him!    A few minutes passed and it came...my very own state of the art Bacon Double Blue Cheeseburger Deluxe.    That first bite was just glorious and I thought...is it the cheese? So I grabbed my three legged fork and tasted the meat by itself.    I was totally impressed by how well the meat was seasoned and cooked. Delicious enough to be eatened by itself!    My meal had more to offer by way of perfectly fried steak french fries which nicely complimented my awesome burger.    Well I thought the whole thing was too good to be true so I went back for more the next day. BTW the service was great both times. Yum!,The Iron Horse Restaurant,20 Washington Ave
4649,34,10,American,2,08/22/2022,Our burgers were just ok. Way too many gnats flying around my table. If they are in the dining room I assume there are more in the kitchen. It didn't seem too clean to me. I'll pass.,The Iron Horse Restaurant,20 Washington Ave
4650,35,10,American,5,05/20/2019,"I have been going to The Iron House since i graduated high school in 1972.  It remains one of the more consistent restaurants i have ever been to.  If you like a good burger served in a warm, cozy setting, then this is the place. They're always friendly, the food is great and it is reasonably priced. My favorite is the stuffed cheeseburger. Try it!",The Iron Horse Restaurant,20 Washington Ave
4651,36,10,American,5,05/20/2019,"I finally stopped in after living here almost 2 years. I don’t generally go to bars or places that have bars. However, I took a chance. The food was very good, very inexpensive in comparison to other restaurants in this area. I ordered nachos. The plate was piled extremely high. The nachos were excellent. I couldn’t eat even half of what I received. Server was friendly, and the place was clean. Surprisingly, for a tavern, it also seemed very family-friendly. I wouldn’t hesitate to take children there to eat.",The Iron Horse Restaurant,20 Washington Ave
4652,37,10,American,1,05/19/2022,"So, this place has obviously been around forever. Honestly, it’s in need of a makeover…and some air freshener. Immedielty when you walk in, you’re hit with this smell of old carpet, old man, funeral home type smell. It’s so off putting. I haven’t been here since I moved to the area almost 18 years ago. A friend of mine and I came in cause we were craving some French onion soup.    The soup was good, but not good enough to come back. The smell was so strong, it was uncomfortably quiet, you could hear everyone’s conversation in the dining room. We were going to walk out after a couple minutes but we felt we were already too deep in after they brought out some water. You know, it’s just the thought that if it smells this bad, how dirty and smelly is everything else?    I wish I could renovate this place myself. Honestly go to any other pub nearby, anything is better then sitting in a smelly old resturant.",The Iron Horse Restaurant,20 Washington Ave
4653,38,10,American,4,12/20/2022,Great food and drinks. Great staff. Highly recommend.,The Iron Horse Restaurant,20 Washington Ave
4654,39,10,American,5,10/21/2022,I Went here with friends the waiter was nice my food was very good I recommend this restaurant,The Iron Horse Restaurant,20 Washington Ave
4655,40,10,American,5,04/19/2023,Great hamburger. Really enjoyed it.,The Iron Horse Restaurant,20 Washington Ave
4656,41,10,American,5,06/23/2022,Delcious food!  Substituted the fries for a baked potato. Ordered the turkey burger which was filling and really good!,The Iron Horse Restaurant,20 Washington Ave
4657,42,10,American,4,05/19/2020,It's a nice place when you have not eaten for 3for 4 days ! Portions are so huge that it is a record if you can finish your plate... quality is good. What's the point are the stuffed burgers. No need of an appetizer,The Iron Horse Restaurant,20 Washington Ave
4658,43,10,American,5,05/19/2020,Hadn't been since a kid. I love that they still have their prize winning stuffed cheese burgers and coleslaw and pickles unlimited.   The sides of truffle fries or onion rings that come with the meal are plenty. Server was excellent and informative. Would recommend to anyone in the area.,The Iron Horse Restaurant,20 Washington Ave
4659,44,10,American,4,05/20/2018,"Nothing special. Have to say, we came at the end of the day. But nothing overwhelmed us at all. Hamburgers were good but not extraordinary, well done instead of medium well. The service was good but nothing special as well. So it's good place to go to eat hamburgers, but you need more luck than we have had.",The Iron Horse Restaurant,20 Washington Ave
4660,45,10,American,5,05/20/2018,I can't believe it took me so long to check this place out. It is so cool inside. Clearly has been a local staple for years. It has an old pub feel and the burgers are amazing. They put the cheese inside the burger which is something they are known for...and now I know why. Delicious! Our waiter was super friendly and kind and I will be going back the next chance I get.,The Iron Horse Restaurant,20 Washington Ave
4661,46,10,American,4,05/21/2015,I have never had a bad burger there.  The railroad fries are great.  The service is good.  I love the pickles.  I'd like to know how they make them - they're just the right amount of crunchy/sour/salty. I have never tried anything else at the Iron Horse.,The Iron Horse Restaurant,20 Washington Ave
4662,47,10,American,5,05/20/2019,I was hesitant cause the stuffed burger seemed like a novelty but was happily proven wrong. Great atmosphere. Great staff. Amazing food. The portion size may look small at first but it was surprisingly satiating.,The Iron Horse Restaurant,20 Washington Ave
4663,48,10,American,4,05/21/2014,"I love it here, best buffalo wings around - no contest.  They have great happy hour specials.  Their homemade pickles and coleslaw are delicious.  I really like their Turkey Reuben and their hamburgers are great.  Only 4 stars because of the price, but it is in a town where restaurant price inflation is rampant - gotta pay the rent!",The Iron Horse Restaurant,20 Washington Ave
4664,49,10,American,5,05/19/2021,Ordered the lobster roll and fries. Ready in 10 mins and they gave me a 10% discount as a walk-in. Delicious,The Iron Horse Restaurant,20 Washington Ave
4665,50,10,American,4,05/20/2019,"This is a family restaurant. It has that comfy cozy feel about. The menu has enough items to choose from without feeling confusion. I had a stuffed burger. I absolutely loved it!! Perfect combination of cheese and burger. The side of cole slaw and pickle were perfect. The cole slaw is crisp and flavorful. The service was incredible. Checking to see how we were. If we needed drinks. I had rice pudding for dessert. The cinnamon was just right. Not to much, not to little. Very enjoyable. I had a great time. I'm looking forward to going back again with friends.",The Iron Horse Restaurant,20 Washington Ave
4666,51,10,American,5,05/19/2022,"Oh boy, both of our drinks were really good! Cosmo & Long Island Iced Tea  Chicken soup was a little bland. Appetizer Pretzels & burger & fries were . …",The Iron Horse Restaurant,20 Washington Ave
4667,52,10,American,5,05/19/2020,Train theme decorations wrapped the dining room.  Food was spot on. Everything came out perfectly. Our waitress was very pleasant and attentive. Good atmosphere to bring kids. Would recommend.,The Iron Horse Restaurant,20 Washington Ave
4668,53,10,American,5,05/19/2022,Very good food at the iron horse very good burgers very good coleslaw and I keep placing span and happy 50th anniversary to the iron horse from Edinburgh to the rest of the safe I miss you guys please stay safe and wear a mask and I love you very much and Sean thank you very much for all that you do and help me out through the years I miss you guys have a great day,The Iron Horse Restaurant,20 Washington Ave
4669,54,10,American,5,05/20/2019,I may be a little biased in my review since this place has such sentimental value to me but Ive been going here for over 20 years. I dont live in New Jersey anymore but I always make sure to visit whenever I'm up north. I've always loved the coleslaw and pickles there. And the burgers are YUMMY. They've perfected the whole cheese in the middle thing.,The Iron Horse Restaurant,20 Washington Ave
4670,55,10,American,5,05/20/2018,"First time here, the hamburgers are simply out of this world. Apparently they are famous for them and I can understand why. If you are in the neighborhood you must stop in. If you are not and are in the mood for the BEST hamburger of your life you need to go there. Did I mention all hamburgers are stuffed with cheese? Simply Amazing!! Btw, not expensive at all.",The Iron Horse Restaurant,20 Washington Ave
4671,56,10,American,5,05/19/2021,Absolutely phenomenal wings. A bit pricey but you pay for quality - I've never had a wing order from this place disappoint me. They're very generous with the complimentary coleslaw and pickles as well.,The Iron Horse Restaurant,20 Washington Ave
4672,57,10,American,2,05/19/2022,Food its good but the only problem the service has to be more faster I order food for pick up I drive about 20 minutes and then I wait 15 minutes outside and the order still not ready the workers keeps telling me needs 10 minutes and take about hours and 15 minutes for just 4 items and the things thay make pay and wait for my order I really feel sorry for the owner he has to bring more workers in the kitchen but I will never come back again.,The Iron Horse Restaurant,20 Washington Ave
4673,58,10,American,5,05/20/2018,"The owners are amazing and the food is good. They actually contribute and participate in the community which I think is a rare thing these days. I recommend the Dispatcher for a hangover cure or the Nachos for a great appetizer. Not that many but families care about bathrooms, but they have a family size restroom that is big enough to change a little one and clean.",The Iron Horse Restaurant,20 Washington Ave
4674,59,10,American,5,05/20/2017,"I have been going to The Iron Horse for at least 30 years! They never disappoint. Pure comfort food. Relaxed atmosphere, great servers and great food. Our favorite is their cheeseburger...they are stuffed with the cheese! Best potato skins also.  This is our go to place.",The Iron Horse Restaurant,20 Washington Ave
4675,60,10,American,4,05/22/2008,"I took my mother here and she was expecting the average burger joint.  She was pleasantly surprised by the helpful staff, great chicken sandwich, and out of this world chocolate cake.  I really enjoy their stuffed cheese burgers and home made coleslaw and pickles.",The Iron Horse Restaurant,20 Washington Ave
4676,61,10,American,4,05/19/2020,"Good food with good service, my first time here after hearing how great the burgers were and I was not disappointed. Wings and mozzarella sticks were also very good. Would definitely recommend it if you're looking for a can't miss pub type spot.",The Iron Horse Restaurant,20 Washington Ave
4677,62,10,American,4,05/20/2018,"This place has been in business for over 35 years and is a great family place. Same owners since opening. Food is always made to order and have specials all the time. Casual gathering place, bar is good for watching some sports or ordering some good craft beers on tap.",The Iron Horse Restaurant,20 Washington Ave
4678,63,10,American,1,05/20/2016,My husband ordered the fried calamari and I tasted it and thought it was fishy and inedible. He didn't wan't to complain and just suffered through it. His stomach was gurgling before we even got home and he became sick.  This place has gone seriously down hill. They no longer seem to even care if they sicken their customers. The waitstaff is sullen and depressed in attitude. I am never going back.  Maybe have a beer there but do not trust the food in this place.,The Iron Horse Restaurant,20 Washington Ave
4679,64,10,American,3,05/20/2018,"The wings are fantastic, but.... $13.00 for a burger with lettuce/tomato and fries was a bit excessive. I didn't get cheese on it and there wasn't anything particularly interesting about the burger. $3.00 for a coke, also excessive. Overall I wouldn't go back just because it's way overpriced for a bar type burger joint.",The Iron Horse Restaurant,20 Washington Ave
4680,65,10,American,5,05/20/2018,"The burgers here are phenomenal. They are stuffed with your choice of cheese, and the meat is good quality for a good price. The fries are also delicious. Highly recommend!",The Iron Horse Restaurant,20 Washington Ave
4681,66,10,American,5,05/19/2020,"Great evening at The Iron Horse.  Went here for a family members birthday and as always the food was plentiful and delicious.  Waitress was friendly, helpful and spot on.    We had the Cubans with sides of fries, OctoberFest stuffed burger with mini potato pancakes, blue cheese stuffed burger and Chicken wrap, both also with fries.  Instead of bread they served cole slaw and pickles.    The dining rooms are large and offer ample space to navigate around.  The ambiance is local noteworthy items and lots of trains, with a fireplace to keep you warm on cold winter nights.    Check their website for trivia nights, fun & games as well as dinner theatre events!",The Iron Horse Restaurant,20 Washington Ave
4682,67,10,American,4,05/20/2019,Amazing place. They even have a wood burning stove inside for the winter! The owner and his wife really do a great job. I had the chili for lunch and the chipotle/cheddar stuffed burger. Highly recommend!,The Iron Horse Restaurant,20 Washington Ave
4683,68,10,American,1,05/20/2016,"It looks cool inside, some would say it needs a face lift. But my experience is; places that  look like this, usually have great food! Not in this case...I ordered the special, prime rib. Pros - it came out quickly and was cooked correctly, but that's where it ends. The whole dish was cold. The plate was ice cold which affected the temperature. The vegetable medley came from a bag, most likely frozen...worst of all the mashed potatoes were from a box and cold. Some other review said they love the homemade Cole slaw...I don't what they had, but the slaw I had tasted liked the kind that comes out of a 5 gallon pail (pre-made) or at a company catered BBQ. This place, according to the reviews, is known for their wings and burgers. If I ever come back, I won't get the special...finally, I eat out a lot, this is the first review I've written in about 3 years, if that tells you anything!",The Iron Horse Restaurant,20 Washington Ave
4684,69,10,American,5,05/20/2019,"Local delish, always there when you need it The Iron Horse is a neighborhood staple.  Love the stuffed cheese burgers and sweet potato fries. Buffalo wings are the best. Best rail road fries,  nacho platter! Omg. Drinks and service are also consistently good. One day I'll make it to their mystery nights.",The Iron Horse Restaurant,20 Washington Ave
4685,70,10,American,2,05/20/2019,"as a place in business for 35 years right in Westwood right next to the Train Station, spruce the place up!  Time for some nice renovations and maybe you can justify $15 Burgers.  The place smells old.  Its not character, its old.  I don't come here much and there's a reason.  Met a friend before a wake.  I didn't want to go here but I wound up at the bar anyway and regretted it.  Stay in business but time for some updates.    Met someone here last night for a beer.  A year and a half after my above review.  While the Dining room might be nicer, the bar area is gross.  We were going to eat (against my best wishes) but the ""complementary"" pickles and slaw were soggy and the guy next to us got ice cold ribs he had to send back and those $15 Burgers are way over priced.  Step it up guys.  You have a prime location and apparently a pretty good following.  Spruce it up and you may find an increase in customer base.  Everyone knows about the ""Iron Horse""  its iconic in the area.  We didnt stay to eat.  Went down the street.  I stay at 2 stars.",The Iron Horse Restaurant,20 Washington Ave
4686,71,10,American,5,05/19/2022,"Perfect burger, good beer and appetizers. Service was warm, friendly and perfect. Coming back for more. Fun place!",The Iron Horse Restaurant,20 Washington Ave
4687,72,10,American,1,05/20/2018,"Just going to give 1 star for the French fries. The burger had no flavor, the baked onion soup had no flavor, and the Cole slaw was subpar. I had to put salt and pepper on everything and for a medium burger it came out pretty rare. Having to spend $15 on that burger was the biggest joke of it all because it was one of the smallest burgers I've ever had. You have better luck going anywhere else for a burger",The Iron Horse Restaurant,20 Washington Ave
4688,73,10,American,1,05/20/2019,"Just left this place. Service was absolutely terrible took almost 2 hours for the food to come out, and the waiter barely came to our table to ask us about drinks etc. This was especially shocking being that we had a party of 15 and were spending good money. Then when we got the bill we were told gratuity was automatically added. When we paid the bill we were off by $5 and since the service was terrible I figured a 19.5% tip was more than enough, but apparently not because the waiter had the audacity to come back and complain even after the terrible service she provided. I will never go here again, mediocre food with awful service!!!!",The Iron Horse Restaurant,20 Washington Ave
4689,74,10,American,5,05/19/2020,"Delightful restaurant with wood-burning fireplace.  I had egg nog from the $5 drink specials menu and french onion soup, son had non-alcoholic egg nog, hit dog and fries, and we sat near the fireplace and admired the train   paraphernalia around the perimeter if the room.  Great atmosphere and service.",The Iron Horse Restaurant,20 Washington Ave
4690,75,10,American,5,05/19/2022,SO GLAD THE IRON HORSE IS BACK!!! Burgers and railrod fries are just as awesome as they've been for the 45 years I've been going. Coleslaw and pickles still served!,The Iron Horse Restaurant,20 Washington Ave
4691,77,10,American,1,05/19/2020,"Overpriced and horrible food. Paid $15.50 for a salad that should have been 5, shrimp was cold and still grey because it was uncooked. Came out with the wrong food and the server told me it was because I ordered wrong. Wonderful experience.... Will NOT be returning. Drink prices are okay, just dont eat anything.",The Iron Horse Restaurant,20 Washington Ave
4692,78,10,American,4,05/21/2013,Awesome find while traveling in suburban NJ.  I grabbed a drink at the bar before a meeting and took a look at the menu.  It's Oktoberfest and the choices were so intriguing that I came back a few hours later for dinner.  OUTSTANDING!  I'm happy to have found this place and so glad I came back for a solo dinner.  Well worth it.,The Iron Horse Restaurant,20 Washington Ave
4693,79,10,American,5,11/20/2022,Great food and always great service,The Iron Horse Restaurant,20 Washington Ave
4694,80,10,American,5,05/19/2020,Food cooked great! They have an eating area and a nice bar area. Door dash is available as well. A nice thing they do is serve free coleslaw and pickles before you get your food!,The Iron Horse Restaurant,20 Washington Ave
4695,81,10,American,4,05/19/2022,My chicken sandwich was dry. Needed mustard. Maybe some kind of sauce should have been offered w the chicken  w bacon and swiss sandwich. The company was awesome,The Iron Horse Restaurant,20 Washington Ave
4696,82,10,American,5,05/19/2022,"It's all about the cheese stuffed burgers.    I went with the buffalo bison....had a chipotle taste, but good and greasy none the less.",The Iron Horse Restaurant,20 Washington Ave
4697,83,10,American,5,05/20/2019,"The best.  If you love trains, nice people and great food, this is a place you have to visit.  We don't live near by, so we only get to eat there when we are in the area.  Very jealous of those who live near by.  Don't miss this place if you are near the town of Westwood.  Love, love, love.",The Iron Horse Restaurant,20 Washington Ave
4698,84,10,American,5,05/19/2020,"Delicious food all around!! I love their veggie wrap with eggplant.  Burgers are amazing,  staff is very friendly!! You won't be disappointed coming here!!",The Iron Horse Restaurant,20 Washington Ave
4699,85,10,American,1,05/20/2017,We  recently   visited the restaurant  for  Mothers  day  brunch    There were 5  of  us  and   we all agreed  the food was ice cold .. A  fan  was  running  right over the buffet tables  so....cold Eggs Benedict  it was ...We told the  staff  2  times  before  finally  someone came over and  asked us  what  the problem was  so...the  2nd trip  up to the  buffet  table  was  warm ..only because  the food  was brought out  again  after  a while everything was ice cold  once  again  (the  burners were apparently out  under the trays)  ..Not  happy!!!   Wont  be back  sorry to say,The Iron Horse Restaurant,20 Washington Ave
4700,86,10,American,5,05/20/2017,"Great burgers.  Pickles are delicious.  Cozy, unique restraunt with lots to look at as you wait for your meal.  The staff is welcoming and make you feel like family.",The Iron Horse Restaurant,20 Washington Ave
4701,87,10,American,2,05/20/2017,"The food was good. The waitress we had was terrible. She had glasses and shaggy blonde hair. She made the experience terrible. She first told me to ""move my son's chair"" just like that. Not please or any thing or even gave me the chance to do it without the snippy ness. Then our meals came out and my son's meal was wrong. I asked her to please just add cheese because I asked for  cheese burger. She first questioned me if I asked for a cheeseburger then she took out her pad to see if I actually did. Then she brought back a deflated sad looking burger with a piece of cheese on top instead of being stuffed that my son was excited for.    Food was good.  Service was ok.    I will request not to sit in her sectuon when we go back.",The Iron Horse Restaurant,20 Washington Ave
4702,88,10,American,4,05/20/2019,"Straps is awesome and the staff, for young people really have there heads together! Great food, great drinks. Safe place to let yourself go! Highly suggestive!",The Iron Horse Restaurant,20 Washington Ave
4703,89,10,American,5,09/21/2022,Another great experience and delicious food.  Best burgers and great service. Highly recommended.,The Iron Horse Restaurant,20 Washington Ave
4704,90,10,American,5,05/20/2019,You can never go wrong with a cheese stuffed burger and a beer! The wings are great!!! The pickles and coleslaw are a staple to your meal. I always want more!,The Iron Horse Restaurant,20 Washington Ave
4705,91,10,American,3,05/20/2019,"Cozy restaurant with railroad theme. The service was good. We tried the nachos (it was super-sized!), wiener schnitzel, salmon, and reuben. Unfortunate for me, the cabbage was the sweet german style and my husband thought his schnitzel was dry.",The Iron Horse Restaurant,20 Washington Ave
4706,92,10,American,1,05/20/2017,"My wife and I had lunch on Saturday Oct 1. I ordered the Octoberfest burger and brought half of it home. I reheated it up today at noon and noticed the bottom of the bun was covered in mold. When we called up and let the manager know the response was ""sure ok thanks."" That was it, no offer to make it right, no further questions and not even an apology. What a joke, this place has steadily nose dived since it reopened.",The Iron Horse Restaurant,20 Washington Ave
4707,93,10,American,5,05/20/2018,Burgers were so moist. Awesome. Waiter was really one of the friendliest I've had in a long time! Great food. Great service,The Iron Horse Restaurant,20 Washington Ave
4708,94,10,American,5,05/19/2020,"You're a silly Sally if you dont like this place. Loved buffalo hot wing, place served me up the best French onion dip under blu cheese, ask for the blu cheese French onion dip, I normally cant stomach blu cheese, this stuff is top dollar.",The Iron Horse Restaurant,20 Washington Ave
4709,95,10,American,5,05/19/2021,Awesome food! Lobster roll hit the spot.,The Iron Horse Restaurant,20 Washington Ave
4710,97,10,American,5,05/20/2019,Best burgers in northern NJ bar none! The special burgers of the week are amazing. Great place for families with kids! Well with the trip.,The Iron Horse Restaurant,20 Washington Ave
4711,98,10,American,5,05/19/2021,"First time back in 16 years, still the best wings around!  My kids were a bit puzzled but loved the pickles & coleslaw!",The Iron Horse Restaurant,20 Washington Ave
