id,review_no_per_rest,restaurant_id,restaurant_type,review_rating,review_date,review_body,restaurant_name,restaurant_address
13087,9,33,Italian,2,03/20/2023,"We came on Friday night,the place was empty!we wanted seafood platter that is on their website menu,but they said they don’t have it!not the greatest food(I mean veal grappa served with hard broccoli not that great combination)!baked clams were ok,but nothing special!Italian draft beer tasteless!You can find much better Italian restaurants with better food!I mean it’s totally not worth $270 that we left there!  P.S.And those small white plates are really old and scratched,time to change it for newer!Thanks,anyway!",Triangolo Restaurant,96-01 Corona Ave.
13088,10,33,Italian,5,05/19/2022,"Delicious Food!  A classic Italian restaurant that, food and service are all excellent. Make sure you ask for shrimp tapas and the classic carbonara pasta, OMG  delicious! very juicy and full of flavor. It’s impressive that everything are homemade (bread, sauce, pasta and the bacon is also prepared there) they also have gluten free and wheat pasta as part of the menu. Excelente wine list ask for  advice/suggestion to pair the right wine with you dish. Place is lovely, clean,  friendly staff, great service, great food. Really good restaurant thoroughly recommend.",Triangolo Restaurant,96-01 Corona Ave.
13089,11,33,Italian,5,12/20/2022,Our second time here. The ambiance is lovely and the service immaculate. Julio took wonderful care of us. I enjoyed my plate of spaghetti with two heaping meatballs. Portions are very generous.,Triangolo Restaurant,96-01 Corona Ave.
13090,13,33,Italian,5,05/19/2020,Beautifully and deliciously prepared homemade Italian food. Loved everything from start to finish. I also love that everything is homemade. I’ve lived in Elmhurst my entire life and had no idea this restaurant was such a gem. I highly recommend you go. Dress nicely and put away your phone. Very friendly and hospitable.,Triangolo Restaurant,96-01 Corona Ave.
13091,14,33,Italian,5,05/19/2020,"Went to Il Triangolo with friends and had a very nice dinner. We were greeted by Mario, the owner, who came to our table and shook our hands, a very nice touch. Mario also very patiently took our orders. They brought out a very nice bread dish with fantastic chopped olives. We starters we had a delicious stuffed calamari that was so good. I had the fish special. Orata (spelling?), a white fish cooked with a baked clam like topping, I chose wisely as it was great. My wife had the veal chop special that was very good. Both entrees were accompanied by homemade spaghetti. We ended the meal with a great chocolate cake that was very much like a black forest cake. Overall it was a great restaurant and I highly recommend it. The service could not have been better and I wish I could give it an additional star.",Triangolo Restaurant,96-01 Corona Ave.
13092,15,33,Italian,5,05/19/2021,"Still the same quality since re-opening and new ownership.    I ordered the DRY AGED RIBEYE cooked to medium with baby potatoes and broccoli rabe and the STUFFED PEPPER both from the specials that day.    The steak was cooked exactly as requested and was delicious. I was a bit skeptical ordering a steak in an upscale Italian restaurant as I usually order a pasta dish but no regrets.    The stuffed pepper appetizer is plenty for 2 people. RED PEPPER STUFFED WITH CRAB, RISOTTO AND TOPPED WITH GORGANZOLA CHEESE. IT WAS INCREDIBLE.    We do miss Mario but as I said still running like clockwork and will continue to go back.",Triangolo Restaurant,96-01 Corona Ave.
13093,16,33,Italian,4,05/19/2020,"I couldn’t of picked a better restaurant in Queens for my sister’s birthday!  The service and the atmosphere was phenomenal!  This restaurant has class!  No Cel phones are allowed only for pictures!  Put your Cel phone away in your purse while dining here, and ringers must be turned off.  Men need to be is collared shirts.  Coats must be checked in and not hung behind your chair.  We all felt like we escaped to Italy for a few hours while dining here.  They timed perfectly from when appetizers, dinners, and desserts came out plus they gave us as much time as we wanted to enjoy our time there.  There was no rush on getting us out.  I highly recommend this restaurant for any special occasion or just a romantic dinner!  For appetizers we ordered two half orders of the homemade ravioli and the Mediterranean salad.  The appetizers were very good!  For entrees two of us had the prime rib eye steak, and I had the spaghetti with chicken meatballs.  The prime rib eye steak was seasoned and cooked perfectly!  It had a great charcoal flavor as well.  The spaghetti and meatballs were good, but I was expecting the sauce to be more flavorful.  The chicken meatballs were ok/good, but I’ve had better.  The next time I go I’ll try something different.  It’s the only reason why I’m giving 4 stars instead of 5.  For desserts we had the apple crostata cake, ricotta cheesecake, and the cannoli all were so good!  We all really wanted to order a chocolate dessert to finish our meal, but none were available that day.  They also give you house made biscotti with dessert which was excellent!  They truly made my sister’s birthday extra special, and we are looking forward to dining here again.  I highly recommend dining at Il Triangolo in Corona, Queens!",Triangolo Restaurant,96-01 Corona Ave.
13094,17,33,Italian,2,03/20/2023,"The food and dining experience was really mediocre. We waited over 45 mins for our mains to come out and when it did come out, the taste was very disatisfying. My porkchop tasted like a chicken parm from a college dining hall drenched in sauce, and my spaghetti tasted like the leftover spaghetti you reheat with jar sauce poured on top.    My boyfriend ordered veal and I can't even describe how unpleasant the texture was for his sides and how overcooked the veal was.    Not sure why it was rated this high tbh...",Triangolo Restaurant,96-01 Corona Ave.
13095,19,33,Italian,5,11/20/2022,"Really good food, I liked both the risotto and the veal polenta. The waiter was attentive and chatty, but also gave us space and time for the after dinner. The restaurant has a nice old fashioned vibe.    The specials on the menu all look very interesting and I'd love to try more of them.",Triangolo Restaurant,96-01 Corona Ave.
13096,20,33,Italian,4,07/23/2022,Good Italian food. Only 1 server. It was not busy on a Friday night. Food was delicious though,Triangolo Restaurant,96-01 Corona Ave.
13097,21,33,Italian,5,08/22/2022,Great authentic Italian food. The owner and staff were very friendly and nice!    Almost Everything is homemade here which is great.    Highly recommend the seafood pasta and Bolognese.,Triangolo Restaurant,96-01 Corona Ave.
13098,22,33,Italian,5,05/20/2018,"Love the no phone policy, really makes you seem as if a traditional family dinner at the table. Superb service, and the food just OMG this is definitely worth the cost. Very friendly service. If Italian food is your thing, THIS IS THE PLACE TO GO TO!!!!",Triangolo Restaurant,96-01 Corona Ave.
13099,23,33,Italian,5,05/20/2019,Unbelievable meal with amazing service. This place might be the best restaurant in New York. The veal alla grappa and fettuccine alla triangolo are two must haves. I truly felt like I was in someone's hi sue having a dinner. Make sure Friday and Saturday nights you dress to impress or you won't be seated.,Triangolo Restaurant,96-01 Corona Ave.
13100,24,33,Italian,1,08/22/2022,"First and last time we’re ordering or eating from this place.  My daughter has allergies and we specifically ordered without cheese and they put cheese on the pasta. The veal Mario style…in the description it says it has bacon, peas and tomatoes, well is had bacon, Lima beans and broccoli (raw). This dish was tasteless and a bunch of thyme on it…AWFULLLLL!  The price is $25.00, it’s not even worth $10.00. The chicken scallopini…was a chicken breast grilled with lemon juice on it and a couple of raw broccoli florets thrown on it…totally tasteless!  I’d say the only thing this restaurant can make is penne a La vodka. NEVER AGAIN!! Don’t waste your money, stay away from this place.",Triangolo Restaurant,96-01 Corona Ave.
13101,25,33,Italian,5,05/19/2022,"The first time i went in i thought it was a cute little place. Cozy and quaint. I read the sign with rules and i liked it. Phones on vibrate, no caps , hoods and all phone calls taken outside.  The original owner Mario hit pay dirt marrying an amazing chef. Everything is fresh and made in house. From house made wine , everything in between, to all the desserts are made in house. Not bought from bakeries. Yes even the bread!!!  When Mario and his wife retired i was reluctantly debating to return to this restaurant. To my surprise, this new husband and wife team knocked it out of the park. Sticking to the standards set forth by the previous owner and raising the bar to a new level. I strongly suggest you come hungry. It will not disappoint you. My personal favorite is a pan fried chicken sorrentino for a main dish , fried calamari and definitely need to have the Black linguine!!!!!! To die for!!!!",Triangolo Restaurant,96-01 Corona Ave.
13102,26,33,Italian,5,05/19/2022,"I loved to come to this Italian restaurant before the pandemic. It was very homey and classy (but not too fancy for the sake of being fancy). The food was always delicious, and the atmosphere was top-notch as well. It was my go-to spot for dates. I can't wait for my next reservation, and hope the Mario family is doing great too. So glad to know it is reopened.",Triangolo Restaurant,96-01 Corona Ave.
13103,27,33,Italian,5,08/22/2022,"Let me start by saying I’m not a fan of Italian food. Even so, I loved this place! The gravy was the best I ever had. The veal parmigiana along with everything else brought me as close as I’ve ever been to enjoying Italian food. This place is old New York that sadly you don’t see much anymore. Enjoy it and try it out",Triangolo Restaurant,96-01 Corona Ave.
13104,29,33,Italian,5,09/21/2022,"This is a great little restaurant and one of my favorites. The food is always very good, the atmosphere is nice and the owner and the wait staff make you feel very welcome. This is one of those small gems that make NYC unique and worth being here.",Triangolo Restaurant,96-01 Corona Ave.
13105,30,33,Italian,5,08/22/2022,"Julio, the waiter, was amazing. Elisa too.",Triangolo Restaurant,96-01 Corona Ave.
13106,31,33,Italian,5,05/19/2022,"Celebrated my husband's 65th birthday last night.  We were a party of 15.  Food and service were top notch.  Everything was so fresh.  We had it all, pasta, rib eyes, pork and fish absolutely delicious.  If you're a lover of baked class, this is the place.  All pastas made fresh, excellent.  Huge shout out to Julio who took care of us, he was fabulous. We will certainly go back back!!!!!",Triangolo Restaurant,96-01 Corona Ave.
13107,32,33,Italian,5,05/20/2019,The food is awesome and their service is fantastic. Always enjoy going to this restaurant.,Triangolo Restaurant,96-01 Corona Ave.
13108,33,33,Italian,5,11/20/2022,"Delicious food, great service and a very nice atmosphere.. The homemade pasta was the main draw for me…",Triangolo Restaurant,96-01 Corona Ave.
13109,34,33,Italian,5,02/18/2023,"Absolutely fantastic, fresh made food. If you cook at home you know these guys are the real deal. Go here.",Triangolo Restaurant,96-01 Corona Ave.
13110,35,33,Italian,5,05/19/2020,Great classic Italian food. Everything is home made.,Triangolo Restaurant,96-01 Corona Ave.
13111,36,33,Italian,1,08/22/2022,"I would do 0 stars if I could, but I can't so I will warn you about this place. I very rarely write bad reviews but this place was so horrible on all fronts. The atmosphere, the food, and the service were all exceptionally poor. I will break down each category below:    Atmosphere: Don't head here for a romantic Italian dinner unless you want to listen to salsa music and snappy waiters.    Food:    The sopresseta was average at best and there were multiple inedible pieces of meat in the sauce.    The signature dish ""Chicken Frangelico"" tastes like sweet and sour chicken with soggy bacon on it.    Service: WORST OF ALL my partner booked 3 weeks in advance for a table in the backroom and they lost our reservation. Someone had a wonderful idea to put a table for two directly next to the kitchen door. This is a great experience if you want to feel like you are working in a kitchen on your valentines day weekend.    Our servers switched in the first 5 minutes, we  ordered and the food came out and they never checked in again.    I asked they take the food away and for the check.    THEN WE WERE HELD HOSTAGE FOR 20 MINUTES BECAUSE THEY TOOK SO LONG TO BRING THE CHECK.    It is torture to be stuck in a restaurant were everything is bad and we can't even get out.    Here is your warning, don't go here. There are plenty of Italian places in New York and this is one you don't need to visit    Edit: the owner replied. My response    Heads up dude. If no one wants to serve at your restaurant it is because your pay is bad. No one wants to work anymore is a cop out. No one wants to work at your restaurant anymore. Post a higher wage and I'm sure you would find someone. There are plenty of well staffed restaurants in NYC. How come they are staffed well?    People request to sit next to the kitchen door? Lol    Also, we were 20 minutes early. Why are you even lying? Your response just shows that there is no hope in your restaurant improving. Making excuses and not taking ownership of a poor experience is the hallmark of poor management.    I wouldn't go back if you paid me.",Triangolo Restaurant,96-01 Corona Ave.
13112,37,33,Italian,3,08/22/2022,"Bread was stale, asked for new and it was fairly bland, not much flavor. Ordered the special chicken cacciatore, it was okay but missing something, perhaps the wine. After dinner the server asked me to tip him in cash, not sure what that was about but it was strange.",Triangolo Restaurant,96-01 Corona Ave.
13113,38,33,Italian,1,12/20/2022,"The pasta was dry and the salt didn’t even help  the service was bad, they took for ever more than a hour  wasted slot of money just for it to be dry, no taste",Triangolo Restaurant,96-01 Corona Ave.
13114,39,33,Italian,2,03/20/2023,Parkside I would recommend or Louie’s on Baxter for some nice pasta.  This was ehhh. Got me once,Triangolo Restaurant,96-01 Corona Ave.
13115,40,33,Italian,5,05/19/2020,"Amazing! The owner was very hands on and in a good way. Homemade pasta, can't go wrong.",Triangolo Restaurant,96-01 Corona Ave.
13116,42,33,Italian,5,05/19/2022,"This place is the ABSOLUTE BEST and it lacks in not 1 thing. The staff is SUPER friendly attentive and helpful. The restaurant feels like home, is beautifully decorated and has everything you need to make you feel comfortable and know that your stomach is about the get the best food ever.    Food is cooked super fresh and i mean the ingredients are on point and perfect. Big portions, seasoned to ABSOLUTE PERFECTION. DO NOT HESITATE AND I MEAN DO NOT. Take that chance, check them out and you’ll wish you found this place Sooner!!!    P.s. the tiramisu is a killer and i mean it’s fire",Triangolo Restaurant,96-01 Corona Ave.
13117,43,33,Italian,5,05/20/2019,"Absolutely phenomenal experience!!! I  can't say enough about the food, the service, the atmosphere! Everything was spectacular! The owner, Mario, personally greets you and takes your order! The wait staff all wear suits not cheap uniforms; and they are so attentive. I dropped my fork on the floor and by the time I reached down to pick it up the waiter was there with a clean one on a silver platter to replace it. The entire restaurant is clean and neat (and decorated for Christmas). The homemade wine, pasta and desserts were delicious. They even spaced out the appetizers so we didn't ""mix the flavors"" and were fully able to enjoy each dish. This was our 3rd time here and it was just as awesome as the first. The highest recommendation possible!",Triangolo Restaurant,96-01 Corona Ave.
13118,44,33,Italian,5,05/20/2018,This was my first time going to this restaurant and it will definitely not be my last. It was one of the most relaxing enjoyable meals with some of the best food I've had in a long time. Comfortable good authentic Italian food. Service was impeccable very comfortable environment. The no cell phone policy made the meal much more enjoyable rather than hearing the person next to you talking to their kids of course one lady did answer her phone towards the end and she got scolded which made me happy because it was rude and she didn't need to answer it. The owner was named Mario and was amazing. He was very involved Hands-On and was at the tables making sure everyone had what they needed and enjoyed everything. They even came out to greet us at the door and offered to take the car and park it for us and sat us right away. They took our coats and hung them for us and we're very attentive to our every need. We were a party of five and they anticipated our needs and made sure we were satisfied and even stayed late because we ran late chatting and eating. This was a great experience I will definitely be back.,Triangolo Restaurant,96-01 Corona Ave.
13119,45,33,Italian,4,09/21/2022,Nice atmosphere and Delicious Food! I met the owner and he is attentive to the patrons dining experience. Thank You Edwin!,Triangolo Restaurant,96-01 Corona Ave.
13120,46,33,Italian,1,05/19/2022,Super racist!! It was the worst experience ever!! The host thought I didn’t speak Spanish in which he was speaking about us being a group of 7 ppl to another waitress. There parking fits only like 3 cars . This is the first time I see a restaurant that doesn’t allow cellphone use while in there .. sounds super fishy ..,Triangolo Restaurant,96-01 Corona Ave.
13121,47,33,Italian,5,05/19/2022,"Best Alfredo! Much love thank you forthe dessert on the house. Also the new owner is really sweet, you don’t need a dress code to dine, which is so convenient. Thanks again!",Triangolo Restaurant,96-01 Corona Ave.
13122,48,33,Italian,5,05/19/2021,"I'm happy to announce has a long time customer they have reopened by a friend Mario, Edwin is the new owner and the food remains the same.  My wife was very happy to celebrate her birthday this year at the restaurant.    Welcome back guys!",Triangolo Restaurant,96-01 Corona Ave.
13123,49,33,Italian,3,05/20/2019,"Don't get me wrong, the food and service at this restaurant is great. The staff were very accommodating and friendly. They took our jackets upon arrival, very fancy shmancy. BUT... I docked off a point because the food isn't as good as you'd expect from a ""high class"" restaurant as they present themselves to be. So it was a bit disappointing. And another because I felt the price you paid for the taste of the food was a little high. This restaurant is not cheap. But for the price, I've eaten better Italian food for a bit cheaper. Overall, I was more on the disappointed side after the meal experience.",Triangolo Restaurant,96-01 Corona Ave.
13124,50,33,Italian,5,05/19/2020,Always a great time at Il Triangolo. Amazing food and great service.,Triangolo Restaurant,96-01 Corona Ave.
13125,51,33,Italian,4,05/19/2022,Old school Italian restaurant with large portions.  Tiny parking lot. If you park there you will be interrupted during your meal to move your car. Small restaurant. Many people were dressed neatly. Service is attentive. They scrape bread crumbs off the table and change out your dishes and flatware when changing courses.,Triangolo Restaurant,96-01 Corona Ave.
13126,52,33,Italian,5,05/20/2019,"Excellent food, service,  atmosphere.  Most authentic Italian food I've experienced.",Triangolo Restaurant,96-01 Corona Ave.
13127,53,33,Italian,5,05/20/2019,This is by far the most authentic Italian experience in dining I have had in many years.  The attention to detail is wonderful the courtesy of the staff is equal to the atmosphere in the dining area.  This is a family owned  And operated business which makes you feel like part of the family. My guest and I walked away from this restaurant feeling completely satisfied the food served here Was every last bit exactly what we had hoped for if you have the chance you must certainly make a reservation dress accordingly.,Triangolo Restaurant,96-01 Corona Ave.
13128,54,33,Italian,5,05/20/2019,"This was my first time visiting. Mario, the owner, is absolutely great. He came by and said hello by name and let us know the specials for the night. The waiter accidentally spilled wine all over my date. They gave him a shirt to wear, gave us the wine on the house, and even gave him money to pay for the shirt to be dry cleaned. The food was absolutely delicious. Would definitely visit again. Highly recommend!!",Triangolo Restaurant,96-01 Corona Ave.
13129,55,33,Italian,5,11/20/2022,Me and my friends had a nice time is a quiet place good food.,Triangolo Restaurant,96-01 Corona Ave.
13130,56,33,Italian,5,05/19/2022,"Old school Italian at its finest!! The service was fantastic and the food was even better. I do however recommend you give yourself around 3 hours to eat. It does take a little longer to get the food out, but it was amazing.",Triangolo Restaurant,96-01 Corona Ave.
13131,57,33,Italian,5,05/20/2017,"The food and wine was phenomenal. If you're looking for a cozy, old fashioned, romantic experience this is your place. Initially I wasn't going to be allowed in because of my attire but the owner let me slide this time. I get it though he is trying to maintain the vibe of the place. They also don't allow phones to be used during service which I also understand.    Come here for a nice romantic night out!",Triangolo Restaurant,96-01 Corona Ave.
13132,58,33,Italian,5,05/20/2018,"Amazing food with homemade pasta, reasonable prices for good food. They have a no cell phone at the table as well. It's cozy with nice wines and deserts also. I definitely recommend it, but the only bad part is finding park since there is no parking lot. The food portions are a good size and not super tiny like a lot of other places.",Triangolo Restaurant,96-01 Corona Ave.
13133,59,33,Italian,5,05/19/2020,Last night myself and two friends went to Il Triangolo for the first time. It definitely will NOT be my last. We loved everything we had from our appetizers down to the homemade napoleons for dessert. Mario is an awesome host and the wait staff was very accommodating. I will be returning after the holidays because I have to take my older brother there. I know he's going to enjoy it as much as I did. Thank you Mario for a great dining experience. See you soon,Triangolo Restaurant,96-01 Corona Ave.
13134,60,33,Italian,5,05/19/2022,"We love tfind old surving and thriving traditional restaurants in evolving multi-ethnic neighborhoods. This place is your bring-back-memory neighborhood Italian eatery. Food is traditional and good, service is old-world and old NYC - just right. Understated but that's ok. They don't hover... but are there as needed.",Triangolo Restaurant,96-01 Corona Ave.
13135,61,33,Italian,2,05/19/2020,"The food was good but on another note it's like being inside a country ruled by a dictator. With all the strict dress codes and what not (which I totally understand) up until I had received an important text in which I had to answer.  Long story short Mario put his hand over my phone and told me no cellphones were allowed and not even in a nice way, he went about it rudely and nasty as if he forgot that I was a paying customer.  For the food quality and price i paid (which was expensive) i could of went to a nicer restaurant and not been harassed for answering a simple text message. I will not be going there again.",Triangolo Restaurant,96-01 Corona Ave.
13136,62,33,Italian,5,05/19/2021,One of the best! Authentic Southern  Italian food with a nice wine list and accommodating service.  One of those restaurants you'll definitely want to go back to.  Going on a weekend? Get a reservation.  Buon appetito!,Triangolo Restaurant,96-01 Corona Ave.
13137,63,33,Italian,5,05/20/2019,"One of the best italian restaurants in New York. No cell phones on the tables, no shorts or tank tops. They mean it.",Triangolo Restaurant,96-01 Corona Ave.
13138,64,33,Italian,5,05/20/2019,"If you like quality Italian food, look no further than this restaurant. Fresh pasta, delicious sauces and tender meats makes this restaurant a spot you want to revisit. Mario the owner is a gracious person and his wife make you feel like you are dining at their house. Finish the meal with the homemade Lemoncello, it's a surprise treat.",Triangolo Restaurant,96-01 Corona Ave.
13139,65,33,Italian,4,10/21/2022,"Roomy interior, comfortable seating. Good portion sizes, fair prices.",Triangolo Restaurant,96-01 Corona Ave.
13140,66,33,Italian,5,05/20/2017,"Absolutely terrific! I invited my mom to dinner here and the owner greeted us with elegant eagerness. He took our jackets, showed us to our table, and served us food even though we did not make a reservation. The food is beyond this world: the bread was buttery, the salad was surreal (pear in salad ftw) and the pasta was rich and delicious. Would go again next time I'm in NYC",Triangolo Restaurant,96-01 Corona Ave.
13141,67,33,Italian,1,05/19/2020,"Food very good, nice setting, but the rules to follow were explained by the owner almost immediately after my wife and I sat down. This in itself is okay as i guess they want to create a certain atmosphere, but it could have been done in a more cordial way. I don't need to be reminded of my strict 7th grade science teacher Mr. Abramowitz when I'm celebrating my wedding anniversary.",Triangolo Restaurant,96-01 Corona Ave.
13142,68,33,Italian,1,05/20/2019,"We are two older gentlemen from California. We made a reservation a month prior to our visit. The host was incredibly rude to us. Even though we had a reservation he told us he wouldn’t seat us because we weren’t wearing collared shirts and that we had to leave. We both had on sweaters and slacks. We were not told that there was a dress code before this, but based on the attire worn by other patrons there at the time, I don’t believe that was the issue at all. Not sure if they are homophobic or what. Not only that, but there was no Uber available here, and after walking around for a long time in the cold looking for another place to eat, we were able to flag down a taxi and get back to our hotel. Scary place. I do wonder how the food is, but it doesn’t matter now because I would never go back there to find out.",Triangolo Restaurant,96-01 Corona Ave.
13143,69,33,Italian,5,05/19/2020,"OMG . . . What can I say ! From the friendly greeting when you first walk in to the attentive servers at your table,  you are absolutely made to feel like family.  The ambience around you and the aroma of garlic in the air takes you back to a time that once was.  The food was UNBELIEVABLE  and prepared so hot and delicious the way it should be.  This place is so recommended and must be experienced... but good luck trying to get a reservation lol ! Definitely worth the trip. God Bless Mario and his lovely wife Pierina... Ciao Ciao",Triangolo Restaurant,96-01 Corona Ave.
13144,70,33,Italian,3,05/20/2019,"I am going to give them three stars. Mario and his wife are wonderful enchanting people. The food is to die for. The wait staff are very attentive. The only problem I have is this obsession with not having your coat hanging off your chair. My lovely wife is often very hot, then very cold. There was one member of the wait staff, who gave us a very hard time over this. My wife explained her condition to him, but this man was relentless. To the point where he was actually nasty. Now I understand you have a policy, I gave him my coat. But when a woman tells you she will hold it on her lap, because she has a condition that causes her to be hot than cold. I think you can make an exception. Especially since the meals there are not cheap. Like I said, I like Mario and his wife, l love the food. But basically embarrassing my wife was unnecessary.",Triangolo Restaurant,96-01 Corona Ave.
13145,71,33,Italian,5,05/20/2019,"This restaurant is a gem, family owned business. The food was exquisite!! As appetizer he ordered the fritta calamari, as main course I ordered the Homemade fettuccine Al triangolo, as dessert we ordered the best ever Tiramisu and pannacota. Everything was excellent, service was great! This is a must go place for everyone! I agree with their policy of no cellphone on the table. We actually got to share a lot without the distraction of technology. I just loved the atmosphere!",Triangolo Restaurant,96-01 Corona Ave.
13146,72,33,Italian,2,05/20/2019,"I went here for dinner with my mom and sisters and was disappointed by the service.  I received a call to confirm my reservation along with an extensive list of rules including no flip flops for men, no kids ( which they repeated 2 times on the phone) and to dress with proper attire. We showed up to see many kids and the guy next to us in flip flops( none of which bothered us). What did bother us was when my sister got a call from her son who was sick, the waiter came over and rudely told us that this is an old fashion restaurant and we cannot be on the phone. When I tried to explain he ignored me and stated with authority that cell phones are not allowed that we need to leave the restaurant and take the call outside! The food was pretty good but because of the rudeness , we will never go back",Triangolo Restaurant,96-01 Corona Ave.
13147,73,33,Italian,5,05/20/2017,"Classy service with the warmth of a well managed, family-owned business. Many delicious homemade items include soppressata, pork sausage and various pastas. Cozy atmosphere that's perfect for holiday dinners or intimate date nights. You don't have to, but go ahead. Throw on a tie and make it special.",Triangolo Restaurant,96-01 Corona Ave.
13148,74,33,Italian,4,05/20/2017,I came here for brunch with my boyfriend. I actually heard about this place on Instagram. I saw someone post the patron bottles filled with some orange goodness and I was all in.  The place was smaller than expected but really nice. Our waitress was pretty friendly and helpful as well. I didn't know what I wanted to drink and she suggested my drink for me. I ordered the skirt steak with white rice and plantains and it was very good.  I'm going to give this place one more try later at night to see what the vibe is like. While we were there we were one of three tables being served so it was pretty quiet. Perfect for a nice brunch with my king.  The parking in the area is not as easy. We have to circle around a little bit to find a spot. After all that circling around we ended up finding a spot right in front of the restaurant and someone was just leaving.  This restaurant is not too far from home Queen friendly and has pretty good food. If I'm in the area again I'll definitely visit.    Oh yea! The prices were  about average for Queens. If you go Uptown to the Bronx or harlem....you'd pay half...but I guess you're paying for the ambiance.,Triangolo Restaurant,96-01 Corona Ave.
13149,75,33,Italian,5,05/19/2020,"Very cozy intimate restaurant with great food, excellent service and personal attention.  Would highly recommend.  Please be aware there are a few rules.  The most important is no cell phones on the table.  It's a wonderful request.",Triangolo Restaurant,96-01 Corona Ave.
